Name,Company Domain Name,Website URL,Phone Number,Email,PMS,Booking URL,Number of Rooms,Lead Status,Existing Customer in Area,Description,Latitude,Longitude
Appalachian Springs Outdoor Resort,appalachiansprings.com,https://appalachiansprings.com/,+1 865-657-8464,,ResNexus,https://resnexus.com/resnexus/reservations/book/9B85E254-B831-4BDC-AE4A-721490B3E3C4,,New,,PMS: ResNexus | Booking URL: https://resnexus.com/resnexus/reservations/book/9B85E254-B831-4BDC-AE4A-721490B3E3C4,35.7827868,
Brookside 42,maplesridge.com,https://www.maplesridge.com/property/brookside-42/,+1 865-908-8970,,unknown_booking_api,https://img.bookonthebrightside.com/maplesridge/large/7214.jpg,8,New,,PMS: unknown_booking_api | Booking URL: https://img.bookonthebrightside.com/maplesridge/large/7214.jpg | Rooms: 8,35.7775925,
A Perfect Getaway,cabins.parksideresort.com,https://cabins.parksideresort.com/Reservations/TCSRWeb.dll/PropertyInfo?PropName=A%20Perfect%20Getaway&Wrapper=wrapper2.html&temp=resort,+1 888-908-6066,reservations@parksideresort.com,unknown_booking_api,https://cabins.parksideresort.com/Reservations/TCSRWeb.dll/PropertyInfo?PropName=A%20Perfect%20Getaway&Wrapper=wrapper2.html&temp=resort,,New,,PMS: unknown_booking_api | Booking URL: https://cabins.parksideresort.com/Reservations/TCSRWeb.dll/PropertyInfo?PropName=A%20Perfect%20Getaway&Wrapper=wrapper2.html&temp=resort,35.7698541,
Cabin Almost Heaven,cabinsofthesmokymountains.com,https://www.cabinsofthesmokymountains.com/pigeon-forge-cabin-rental/Almost_Heaven_.html,8663476659,guestcare@gatlinburgfallsresort.com,unknown_booking_api,https://beacon.beyondpricing.com/payload.js,,New,,PMS: unknown_booking_api | Booking URL: https://beacon.beyondpricing.com/payload.js,35.7811061,
Raccoon Valley at Volunteer Park,raccoonrv.com,http://www.raccoonrv.com/,+1 865-947-9776,reservations@volunteerpark.com,Firefly Reservations,https://app.fireflyreservations.com/reserve/property/RaccoonValleyatVolunteerPark,,New,,PMS: Firefly Reservations | Booking URL: https://app.fireflyreservations.com/reserve/property/RaccoonValleyatVolunteerPark,36.0971904,
Appalachian Lodge,cabins.parksideresort.com,http://cabins.parksideresort.com/Reservations/TCSRWeb.dll/PropertyInfo?PropName=Appalachian%20Lodge&Wrapper=wrapper2.html&temp=resort#reservez,+1 888-908-6066,reservations@parksideresort.com,unknown_booking_api,http://cabins.parksideresort.com/Reservations/TCSRWeb.dll/PropertyInfo?PropName=Appalachian%20Lodge&Wrapper=wrapper2.html&temp=resort,,New,,PMS: unknown_booking_api | Booking URL: http://cabins.parksideresort.com/Reservations/TCSRWeb.dll/PropertyInfo?PropName=Appalachian%20Lodge&Wrapper=wrapper2.html&temp=resort,35.7680346,
Covered Bridge Resort by Vacasa,vacasa.com,https://www.vacasa.com/usa/Covered-Bridge-Resort-Pigeon-Forge-TN/?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-Covered-Bridge-Resort,+1 865-429-7717,,Guesty,https://www.vacasa.com/,,New,,PMS: Guesty | Booking URL: https://www.vacasa.com/,35.78367730000001,
Ingleside Cottage,historicrugby.org,http://www.historicrugby.org/,+1 423-628-2441,,unknown_booking_api,https://csp.secureserver.net/eventbus/web?clientid=b18ef4f046435b64a469b32c3c1c20a3,,New,,PMS: unknown_booking_api | Booking URL: https://csp.secureserver.net/eventbus/web?clientid=b18ef4f046435b64a469b32c3c1c20a3,36.3602445,
A Cabin To Remember,cabins.parksideresort.com,http://cabins.parksideresort.com/Reservations/TCSRWeb.dll/PropertyInfo?PropName=A%20Cabin%20to%20Remember&Wrapper=wrapper2.html&temp=resort,+1 888-908-6066,reservations@parksideresort.com,unknown_booking_api,http://cabins.parksideresort.com/Reservations/TCSRWeb.dll/PropertyInfo?PropName=A%20Cabin%20to%20Remember&Wrapper=wrapper2.html&temp=resort,,New,,PMS: unknown_booking_api | Booking URL: http://cabins.parksideresort.com/Reservations/TCSRWeb.dll/PropertyInfo?PropName=A%20Cabin%20to%20Remember&Wrapper=wrapper2.html&temp=resort,35.7668906,
Zenplicity Cabin,linktr.ee,https://linktr.ee/zenplicitycabin,,,Hospitable,https://www.zenplicitycabin.com/property/zenplicity-cabin-brand-new-views-modern-design,,New,,PMS: Hospitable | Booking URL: https://www.zenplicitycabin.com/property/zenplicity-cabin-brand-new-views-modern-design,34.7851227,
