Name,Company Domain Name,Website URL,Phone Number,Email,PMS,Booking URL,Number of Rooms,Lead Status,Existing Customer in Area,Description,Latitude,Longitude
Fernandez Bay Village,fernandezbayvillage.com,http://www.fernandezbayvillage.com/,+19543027422,,InnRoad,https://fernandezbayvillage.client.innroad.com/,,New,,PMS: InnRoad | Booking URL: https://fernandezbayvillage.client.innroad.com/,,
Riverside Hotel Fort Lauderdale,riversidehotel.com,https://www.riversidehotel.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs,9544670671,frontdesk@riversidehotel.com,SynXis / TravelClick,https://reservations.travelclick.com/15542?_gl=1*pchc4p*,,New,,PMS: SynXis / TravelClick | Booking URL: https://reservations.travelclick.com/15542?_gl=1*pchc4p*,,
Oasis Hotel,oasishotelftl.com,https://oasishotelftl.com/?utm_source=Google%20My%20Business&utm_medium=Website%20Button&utm_campaign=Fort%20Lauderdale,19545233043,reservations@oasishotelftl.com,Cloudbeds,https://hotels.cloudbeds.com/reservation/lyuYrq?utm_source=website&utm_medium=banner&utm_campaign=direct_perk,,New,,PMS: Cloudbeds | Booking URL: https://hotels.cloudbeds.com/reservation/lyuYrq?utm_source=website&utm_medium=banner&utm_campaign=direct_perk,,
Crocodhouse,crocodhouse.com,http://www.crocodhouse.com/,+5731737294,Ecrocodhouse@gmail.com,SiteMinder,https://direct-book.com/properties/crocodhousehosteldirect?locale=en&referrer=canvas,,New,,PMS: SiteMinder | Booking URL: https://direct-book.com/properties/crocodhousehosteldirect?locale=en&referrer=canvas,,
Yacht Haven Park & Marina – South Florida’s Motorcoach & Yachting Resort.,yachthavenpark.com,http://www.yachthavenpark.com/,8005812322,reservations@yachthavenpark.com,RMS Cloud,https://bookings.rmscloud.com/Search/Index/B78D70C6A4C68321/90/,,New,,PMS: RMS Cloud | Booking URL: https://bookings.rmscloud.com/Search/Index/B78D70C6A4C68321/90/,,
Cottages El Portal,cottageselportal.com,https://www.cottageselportal.com/,3058541919,,SiteMinder,https://direct-book.com/properties/CottageselPortalDirect?locale=en&referrer=canvas,,New,,PMS: SiteMinder | Booking URL: https://direct-book.com/properties/CottageselPortalDirect?locale=en&referrer=canvas,,
The Tony Hotel South Beach,thetonyhotel.com,http://www.thetonyhotel.com/,3055312222,info@thetonyhotel.com,SynXis / TravelClick,https://be.synxis.com/?hotel=37598&chain=29137,,New,,PMS: SynXis / TravelClick | Booking URL: https://be.synxis.com/?hotel=37598&chain=29137,,
The Moore,mooremiami.com,https://www.mooremiami.com/,,workplace@mooremiami.com,SynXis / TravelClick,https://be.synxis.com/?hotel=45485,,New,,PMS: SynXis / TravelClick | Booking URL: https://be.synxis.com/?hotel=45485,,
"Balfour Miami Beach, a Wyndham Registry Hotel",balfourhotelmiami.com,https://balfourhotelmiami.com/,+13055381055,,SynXis / TravelClick,https://be-p2.synxis.com/?&hotel=92914&Rate=RODBK&src=SBE,,New,,PMS: SynXis / TravelClick | Booking URL: https://be-p2.synxis.com/?&hotel=92914&Rate=RODBK&src=SBE,,
Belmont Inn & Suites Florida City,belmontinnflorida.com,https://belmontinnflorida.com/,+13052489300,,ASI Web Reservations,https://reservation.asiwebres.com/SearchAvailability.aspx?id=da2a965166104632a6ab130ce95f71ed,10,New,,PMS: ASI Web Reservations | Booking URL: https://reservation.asiwebres.com/SearchAvailability.aspx?id=da2a965166104632a6ab130ce95f71ed | Rooms: 10,,
North Miami Beach Gardens Inn & Suites,northmiamibeachgardenshotel.com,https://www.northmiamibeachgardenshotel.com/,3059491441,nmbgardensinnsuites@gmail.com,SiteMinder,https://direct-book.com/properties/northmiamigardensinnsuitesdirect?locale=en&referrer=canvas,,New,,PMS: SiteMinder | Booking URL: https://direct-book.com/properties/northmiamigardensinnsuitesdirect?locale=en&referrer=canvas,,
The Meridian Hotel by At Mine Hospitality,atminehospitality.com,https://www.atminehospitality.com/,+13054977553,info@atminehospitality.com,Cloudbeds,https://www.atminehospitality.com/portfolio#BookNow,,New,,PMS: Cloudbeds | Booking URL: https://www.atminehospitality.com/portfolio#BookNow,,
