Name,Company Domain Name,Website URL,Phone Number,Email,PMS,Booking URL,Number of Rooms,Lead Status,Existing Customer in Area,Description,Latitude,Longitude
Henlopen Oceanfront Hotel,henlopenhotel.com,https://www.henlopenhotel.com/,+1 866-436-5673,,SiteMinder,https://direct-book.com/properties/henlopendirect?locale=en&items[0][adults]=2&items[0][children]=0&items[0][infants]=0&currency=USD&checkInDate=2024-03-29&checkOutDate=2024-03-31&trackPage=yes,,New,,PMS: SiteMinder | Booking URL: https://direct-book.com/properties/henlopendirect?locale=en&items[0][adults]=2&items[0][children]=0&items[0][infants]=0&currency=USD&checkInDate=2024-03-29&checkOutDate=2024-03-31&trackPage=yes,38.7213464,
Holland House,hollandhousebandb.com,http://www.hollandhousebandb.com/,+1 410-641-1956,info@hollandhousebandb.com,ThinkReservations,https://secure.thinkreservations.com/hollandhousebnb/reservations,,New,,PMS: ThinkReservations | Booking URL: https://secure.thinkreservations.com/hollandhousebnb/reservations,38.324449,
Beach Shack,caperesorts.com,http://caperesorts.com/hotels/capemay/beachshack/,+1 877-742-2507,Reservations@CapeResorts.com,SynXis / TravelClick,https://be.synxis.com/,,New,,PMS: SynXis / TravelClick | Booking URL: https://be.synxis.com/,38.93066049999999,
Osborne's Inn,osbornesinn.com,http://www.osbornesinn.com/,+1 215-806-4000,osbornesinnocnj@gmail.com,ReservationKey,https://v2.reservationkey.com/Osbornesinn/reserve,,New,,PMS: ReservationKey | Booking URL: https://v2.reservationkey.com/Osbornesinn/reserve,39.2712191,
Luther Ogden Inn,lutherogdeninn.com,https://www.lutherogdeninn.com/,+1 609-425-6365,lutherogdeninn@gmail.com,ThinkReservations,https://secure.thinkreservations.com/lutherogdeninn/reservations,,New,,PMS: ThinkReservations | Booking URL: https://secure.thinkreservations.com/lutherogdeninn/reservations,38.93259,
Madison Bay Beach Getaway,madisonbeachoc.com,https://www.madisonbeachoc.com/,4102896282,MADISONBEACH@OCROOMS.COM,SynXis / TravelClick,https://reservations.travelclick.com/9879407?HotelId=9879407&=1&roomtypeid=547656&_gl=1*10sv8z4*,,New,,PMS: SynXis / TravelClick | Booking URL: https://reservations.travelclick.com/9879407?HotelId=9879407&=1&roomtypeid=547656&_gl=1*10sv8z4*,38.450764,
Summer Place Hotel,rehobothsummerplace.com,https://www.rehobothsummerplace.com/,+1 302-226-0766,millerd19958@gmail.com,WebRez,https://secure.webrez.com/hotel/1617,,New,,PMS: WebRez | Booking URL: https://secure.webrez.com/hotel/1617,38.7186087,
Jetty Motel,jettycmnj.com,http://www.jettycmnj.com/,+1 609-884-4640,,InnRoad,https://jettymotel.client.innroad.com/,,New,,PMS: InnRoad | Booking URL: https://jettymotel.client.innroad.com/,38.93033740000001,
Atlantic Hotel,atlantichotel.com,http://www.atlantichotel.com/,+1 410-641-3589,info@atlantichotel.com,SiteMinder,https://direct-book.com/properties/theatlantichoteldirect,,New,,PMS: SiteMinder | Booking URL: https://direct-book.com/properties/theatlantichoteldirect,38.3244686,
Wilbraham Mansion,wilbrahammansion.com,http://www.wilbrahammansion.com/,+1 609-884-2046,reservations@wilbrahammansion.com,Mews,https://app.mews.com/distributor/506f16f8-d6cc-4fe9-bd0a-b2b90114f7fe,,New,,PMS: Mews | Booking URL: https://app.mews.com/distributor/506f16f8-d6cc-4fe9-bd0a-b2b90114f7fe,38.935501,
Fenwick Islander Motel,fenwickislander.com,http://www.fenwickislander.com/,+1 302-539-2333,,IQWebBook,https://us01.iqwebbook.com/FIMDE392/,,New,,PMS: IQWebBook | Booking URL: https://us01.iqwebbook.com/FIMDE392/,38.455566,
The Carisbrooke Inn,carisbrookeinn.com,http://www.carisbrookeinn.com/,+1 609-822-6392,info@carisbrookeinn.com,ResNexus,https://resnexus.com/resnexus/reservations/book/BADCB806-0032-4CFA-8B7E-F61AB227B751/GiftCertificates,,New,,PMS: ResNexus | Booking URL: https://resnexus.com/resnexus/reservations/book/BADCB806-0032-4CFA-8B7E-F61AB227B751/GiftCertificates,39.3415977,
Lakeside Motel,mtlodging.com,https://mtlodging.com/,+1 302-875-3244,,InnRoad,https://themeforest.net/item/jupiter-multipurpose-responsive-theme/5177775?UTM_source=HealthBlogJupiterXCTAs&UTM_medium=JupiterXTemplateDemoBodyCTA,,New,,PMS: InnRoad | Booking URL: https://themeforest.net/item/jupiter-multipurpose-responsive-theme/5177775?UTM_source=HealthBlogJupiterXCTAs&UTM_medium=JupiterXTemplateDemoBodyCTA,38.5558317,
North Beach Hotel,nobehotel.com,http://www.nobehotel.com/,+1 609-822-6392,,ResNexus,https://resnexus.com/resnexus/reservations/book/5974920C-76C7-44CF-8019-B00DB61E0B89/GiftCertificates,,New,,PMS: ResNexus | Booking URL: https://resnexus.com/resnexus/reservations/book/5974920C-76C7-44CF-8019-B00DB61E0B89/GiftCertificates,39.3413208,
Colton Court Motor Inn,coltoncourt.com,http://www.coltoncourt.com/,+1 609-884-5384,rcoltoncourt@aol.com,ASI Web Reservations,https://reservation.asiwebres.com/v2/RoomAvailability.aspx?id=1c2dc0f5343e4a749f514a0e776e8045,,New,,PMS: ASI Web Reservations | Booking URL: https://reservation.asiwebres.com/v2/RoomAvailability.aspx?id=1c2dc0f5343e4a749f514a0e776e8045,38.93048659999999,
Large Beach Home with Ocean Views from Balcony,castleinthesand.com,https://castleinthesand.com/,+1 215-236-7101,info@castleinthesand.com,Cloudbeds,https://hotels.cloudbeds.com/en/reservation/vzS3IV?currency=usd,,New,,PMS: Cloudbeds | Booking URL: https://hotels.cloudbeds.com/en/reservation/vzS3IV?currency=usd,39.3424469,
