Name,Company Domain Name,Website URL,Phone Number,Email,PMS,Booking URL,Number of Rooms,Lead Status,Existing Customer in Area,Description,Latitude,Longitude
Kyah,thekyah.com.au,http://www.thekyah.com.au/,+61 2 4787 8108,stay@thekyah.com.au,Cloudbeds,https://hotels.cloudbeds.com/en/reservation/jt0MvA#checkin=2025-12-22&checkout=2025-12-23,,New,,PMS: Cloudbeds | Booking URL: https://hotels.cloudbeds.com/en/reservation/jt0MvA#checkin=2025-12-22&checkout=2025-12-23,-33.6493581,
Astina Suites,astinasuites.com.au,https://astinasuites.com.au,(02)47311777,reservations@astina.com.au,Mews,https://book-directonline.com/properties/astinasuitesdirect,,New,,PMS: Mews | Booking URL: https://book-directonline.com/properties/astinasuitesdirect,,
Catalina Island Inn,catalinaislandinn.com,https://www.catalinaislandinn.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp_listing,(310) 510-1623,catalinaislandinn@pacificahost.com,SynXis / TravelClick,https://www.catalinaislandinn.com/rooms,,New,,PMS: SynXis / TravelClick | Booking URL: https://www.catalinaislandinn.com/rooms,33.3440412,
Springside Inn,springsideinn.com,https://www.springsideinn.com/,(315) 252-7247,info@springsideinn.com,Cloudbeds,https://hotels.cloudbeds.com/reservation/yBIzFL#checkin=2024-11-16&checkout=2024-11-17,,New,,PMS: Cloudbeds | Booking URL: https://hotels.cloudbeds.com/reservation/yBIzFL#checkin=2024-11-16&checkout=2024-11-17,42.8988392,
The Lucky Dog,bondibeachholidayhomes.com,http://www.bondibeachholidayhomes.com/,+61 2 9641 2357,bondibeachpad@gmail.com,Hospitable,https://api.hospitable.com/bookings/api/mps/widget/custom/6e384599-7c8d-446f-bfc7-85fed5fcc758,,New,,PMS: Hospitable | Booking URL: https://api.hospitable.com/bookings/api/mps/widget/custom/6e384599-7c8d-446f-bfc7-85fed5fcc758,-33.884158299999996,
Bella Vista Hotel & Suites Lynchburg,thebvhotel.com,https://www.thebvhotel.com/,(434) 237-6333,Hello@TheBVHotel.com,Cloudbeds,https://hotels.cloudbeds.com/en/reservation/79bmMz#checkin=2025-12-22&checkout=2025-12-23,,New,,PMS: Cloudbeds | Booking URL: https://hotels.cloudbeds.com/en/reservation/79bmMz#checkin=2025-12-22&checkout=2025-12-23,37.370461299999995,
Inn At Amaris Farms,innatamarisfarms.com,https://innatamarisfarms.com/,(828) 318-2630,erica@innatamarisfarms.com,ThinkReservations,https://secure.thinkreservations.com/innatamarisfarms/reservations,,New,,PMS: ThinkReservations | Booking URL: https://secure.thinkreservations.com/innatamarisfarms/reservations,35.780179,
The Bike Inn Bentonville,thebikeinn.com,http://thebikeinn.com/,(479) 339-9401,,Hostaway,https://bookingenginecdn.hostaway.com/account/companyLogo/36189-companyLogo.png?width=300&quality=70&format=webp&v=2,,New,,PMS: Hostaway | Booking URL: https://bookingenginecdn.hostaway.com/account/companyLogo/36189-companyLogo.png?width=300&quality=70&format=webp&v=2,36.3376345,
Fuquay Mineral Spring Inn and Garden,fuquayinn.com,http://www.fuquayinn.com/,(919) 880-3539,jbyrne@fuquayinn.com,RezStream,https://tnsinc.com/product/booking-engine/,,New,,PMS: RezStream | Booking URL: https://tnsinc.com/product/booking-engine/,35.580677099999996,
Arka Motel,arkamotel.com,http://www.arkamotel.com/,(479) 335-1555,hello@arkamotel.com,Cloudbeds,https://www.arkamotel.com/book-now,,New,,PMS: Cloudbeds | Booking URL: https://www.arkamotel.com/book-now,36.3431442,
Arthur Murray's Motel,arthurmurraysmotel.com,http://arthurmurraysmotel.com/,(417) 475-3492,info@arthurmurraysmotel.com,Cloudbeds,https://hotels.cloudbeds.com/reservation/WgjS8x,,New,,PMS: Cloudbeds | Booking URL: https://hotels.cloudbeds.com/reservation/WgjS8x,36.551074899999996,
Inn at Brierley Hill,brierleyhill.com,https://www.brierleyhill.com/,(540) 464-8421,innkeeper@brierleyhill.com,ThinkReservations,https://secure.thinkreservations.com/brierleyhill/reservations,8,New,,PMS: ThinkReservations | Booking URL: https://secure.thinkreservations.com/brierleyhill/reservations | Rooms: 8,37.794706,
The Mercantile Hotel (Accommodation),themercantilehotel.com.au,https://www.themercantilehotel.com.au/accommodation,+61 404 550 758,3570INFO@THEMERCANTILEHOTEL.COM.AU,Little Hotelier,https://apac.littlehotelier.com/properties/the-mercantile-hotel,,New,,PMS: Little Hotelier | Booking URL: https://apac.littlehotelier.com/properties/the-mercantile-hotel,-33.857216699999995,
Cottage On The Mall,whisperingpines.com.au,https://www.whisperingpines.com.au/,+61 2 4757 1449,Estay@whisperingpines.com.au,SiteMinder,https://www.siteminder.com/canvas,,New,,PMS: SiteMinder | Booking URL: https://www.siteminder.com/canvas,-33.7161822,
Seven Oaks Inn Bed and Breakfast,7oaksbedandbreakfast.com,http://www.7oaksbedandbreakfast.com/,(336) 899-6257,info_sevenoaks@triad.rr.com,ResNexus,https://reserve1.resnexus.com/resnexus/reservations/lodging/EC2DB1C6-BE13-4BD9-931F-910980911521,,New,,PMS: ResNexus | Booking URL: https://reserve1.resnexus.com/resnexus/reservations/lodging/EC2DB1C6-BE13-4BD9-931F-910980911521,36.028386399999995,
Reed Cottage,huntervalleyholidayhomes.com.au,https://www.huntervalleyholidayhomes.com.au/reed-cottage-cremorne,+61 488 881 100,info@huntervalleyholidayhomes.com.au,Newbook,https://bookingsau.newbook.cloud/huntervalleyholidayhomes/index.php?_ga=2.79035220.1356708941.1564966930-1088959082.1562718965,,New,,PMS: Newbook | Booking URL: https://bookingsau.newbook.cloud/huntervalleyholidayhomes/index.php?_ga=2.79035220.1356708941.1564966930-1088959082.1562718965,-33.8342047,
Milson Serviced Apartments,milsonsa.com.au,https://milsonsa.com.au/,+61 2 9959 3450,info@milsonsa.com.au,RMS Cloud,https://bookings12.rmscloud.com/Search/Index/8458/1/,,New,,PMS: RMS Cloud | Booking URL: https://bookings12.rmscloud.com/Search/Index/8458/1/,-33.8472959,
Wolf Inn Hotel,wolfinnhotel.com,https://www.wolfinnhotel.com/,(419) 625-1291,office@wolfinnhotel.com,ASI Web Reservations,https://reservation.asiwebres.com/v2/RoomAvailability.aspx?id=84f0452e691d4d93b723bd135f0fdfcf,,New,,PMS: ASI Web Reservations | Booking URL: https://reservation.asiwebres.com/v2/RoomAvailability.aspx?id=84f0452e691d4d93b723bd135f0fdfcf,41.431312299999995,
Alexandra Hotel,alexandrahotel.com.au,https://www.alexandrahotel.com.au/,+61 2 4782 4422,manager@alexandrahotel.com.au,Little Hotelier,https://alexandrahotel.com.au/bookings/,,New,,PMS: Little Hotelier | Booking URL: https://alexandrahotel.com.au/bookings/,-33.7111441,
Sandusky Inn,thesanduskyinn.com,http://thesanduskyinn.com/,(419) 502-0026,,ASI Web Reservations,https://reservation.asiwebres.com/SearchAvailability.aspx?id=dcfc30cd3cdb491d8a988c3575c09ffa,,New,,PMS: ASI Web Reservations | Booking URL: https://reservation.asiwebres.com/SearchAvailability.aspx?id=dcfc30cd3cdb491d8a988c3575c09ffa,41.4319892,
Ballantyne at Mosman,ballantyne.net.au,http://www.ballantyne.net.au/,+61 404 288 820,mosman1ballantyne@gmail.com,Little Hotelier,https://apac.littlehotelier.com/properties/ballantyne-mosman,,New,,PMS: Little Hotelier | Booking URL: https://apac.littlehotelier.com/properties/ballantyne-mosman,-33.8315738,
SōLSTAY Lodging & Marina,solstaylodging.com,http://www.solstaylodging.com/,(419) 504-3052,solstaylodging@gmail.com,ResNexus,https://resnexus.com/resnexus/reservations/book/4D28300F-6CED-4E74-B5D8-6A33728C0F74/GiftCertificates,,New,,PMS: ResNexus | Booking URL: https://resnexus.com/resnexus/reservations/book/4D28300F-6CED-4E74-B5D8-6A33728C0F74/GiftCertificates,41.447782499999995,
The Beach House,bhmotelwildwood.com,http://www.bhmotelwildwood.com/,(609) 305-5583,,ResNexus,https://resnexus.com/resnexus/reservations/book/8565dcc4-bcc2-46c6-9681-7f65cbc3d994/giftshop?tabID=5,,New,,PMS: ResNexus | Booking URL: https://resnexus.com/resnexus/reservations/book/8565dcc4-bcc2-46c6-9681-7f65cbc3d994/giftshop?tabID=5,38.979506799999996,
